term	vocabulary_id	comment
Anterior ascending ramus of the lateral sulcus	ONVOC:0000009	
Anterior horizontal ramus of the lateral sulcus	ONVOC:0000010	
Anterior occipital sulcus	ONVOC:0000011	
Banks of superior temporal sulcus	ONVOC:0000012	
Calcarine sulcus	ONVOC:0000013	
Callosal sulcus	ONVOC:0000014	
Caudal anterior cingulate cortex	ONVOC:0000015	
Caudal superior temporal sulcus, first segment	ONVOC:0000016	
Caudal superior temporal sulcus, second segment	ONVOC:0000017	
Caudal superior temporal sulcus, third segment	ONVOC:0000018	
Central sulcus	ONVOC:0000019	
Cingulate sulcus	ONVOC:0000020	
Circular insular sulcus	ONVOC:0000021	
Collateral sulcus	ONVOC:0000022	
Cuneus	ONVOC:0000023	
Dorsal prefrontal cortex	ONVOC:0000024	
Entorhinal cortex	ONVOC:0000025	
First transverse temporal sulcus	ONVOC:0000026	
Frontal pole	ONVOC:0000027	
Frontomarginal sulcus	ONVOC:0000028	
Fusiform gyrus	ONVOC:0000029	
Heschl's sulcus	ONVOC:0000030	
Inferior Frontal Gyrus	ONVOC:0000031	
Inferior frontal sulcus	ONVOC:0000032	
Inferior parietal lobule	ONVOC:0000033	
Inferior temporal sulcus	ONVOC:0000034	
Insula	ONVOC:0000035	
Interhemispheric sulcus	ONVOC:0000036	
Intraparietal sulcus	ONVOC:0000037	
Isthmus cingulate cortex	ONVOC:0000038	
Lateral H-shaped orbital sulcus	ONVOC:0000039	
Lateral occipital cortex	ONVOC:0000040	
Lateral occipital sulcus	ONVOC:0000041	
Lateral orbitofrontal cortex	ONVOC:0000042	
Lateral sulcus	ONVOC:0000043	
Lingual gyrus	ONVOC:0000044	
Medial H-shaped orbital sulcus	ONVOC:0000045	
Medial orbitofrontal cortex	ONVOC:0000046	
Middle frontal gyrus	ONVOC:0000047	
Occipitotemporal sulcus	ONVOC:0000048	
Olfactory sulcus	ONVOC:0000049	
Paracentral lobule	ONVOC:0000050	
Paracentral sulcus	ONVOC:0000051	
Parahippocampal gyrus	ONVOC:0000052	
Parietooccipital sulcus	ONVOC:0000053	
Pericalcarine cortex	ONVOC:0000054	
Postcentral gyrus	ONVOC:0000055	
Postcentral sulcus	ONVOC:0000056	
Posterior ascending ramus of the lateral sulcus	ONVOC:0000057	
Posterior cingulate cortex	ONVOC:0000058	
Posterior horizontal ramus of the lateral sulcus	ONVOC:0000059	
Precentral gyrus	ONVOC:0000060	
Precentral sulcus	ONVOC:0000061	
Precuneus	ONVOC:0000062	
Pretriangular sulcus	ONVOC:0000063	
Primary intermediate sulcus	ONVOC:0000064	
Rhinal sulcus	ONVOC:0000065	
Rostral anterior cingulate cortex	ONVOC:0000066	
Subparietal sulcus	ONVOC:0000067	
Superior frontal gyrus	ONVOC:0000068	
Superior frontal sulcus	ONVOC:0000069	
Superior parietal lobule	ONVOC:0000070	
Superior rostral sulcus	ONVOC:0000071	
Superior temporal gyrus	ONVOC:0000072	
Superior temporal sulcus	ONVOC:0000073	
Supramarginal gyrus	ONVOC:0000074	
Temporal gyrus	ONVOC:0000075	
Temporal incisure	ONVOC:0000076	
Temporal pole	ONVOC:0000077	
Temporo-Parietal Junction	ONVOC:0000078	
Transverse occipital sulcus	ONVOC:0000079	
Transverse temporal gyrus	ONVOC:0000080	
Ventral prefrontal cortex	ONVOC:0000081	
Auditory cortex	ONVOC:0000524	
