term	vocabulary_id	comment
Ethinyl Estradiol	ONVOC:0000336	
Levonorgestrel	ONVOC:0000337	
Norethindrone	ONVOC:0000338	
Norgestimate	ONVOC:0000339	
Drospirenone	ONVOC:0000340	
Norgestimate	ONVOC:0000339	
Norethindrone	ONVOC:0000338	
Levonorgestrel	ONVOC:0000337	
Desogestrel	ONVOC:0000341	
Norgestrel	ONVOC:0000342	
Dienogest	ONVOC:0000343	
Nomegestrol Acetate	ONVOC:0000344	
Chlormadinone Acetate	ONVOC:0000345	
Ulipristal Acetate	ONVOC:0000346	
Segesterone Acetate	ONVOC:0000347	
Mestranol	ONVOC:0000348	
Norethindrone	ONVOC:0000338	
