term	vocabulary_id	comment
Psilocybin	ONVOC:0000311	
3,4-Methylenedioxymethamphetamine	ONVOC:0000312	
Ketamine	ONVOC:0000313	
Ayahuasca	ONVOC:0000314	
Lysergic Acid Diethylamide	ONVOC:0000315	
Dimethyltryptamine	ONVOC:0000316	
Mescaline	ONVOC:0000317	
Psilocin	ONVOC:0000318	
5-MeO-DMT	ONVOC:0000319	
Ibogaine	ONVOC:0000320	
Harmine	ONVOC:0000321	
Harmaline	ONVOC:0000322	
2,5-Dimethoxy-4-methylamphetamine	ONVOC:0000323	
2,5-Dimethoxy-4-iodoamphetamine	ONVOC:0000324	
2,5-Dimethoxy-4-bromoamphetamine	ONVOC:0000325	
Salvia Divinorim	ONVOC:0000326	
Salvinorin A	ONVOC:0000327	
