term	vocabulary_id	comment
ADHD Medications Nonstimulants	ONVOC:0000246	
Anesthetics	ONVOC:0000247	
Anti Inflammatory	ONVOC:0000248	
Anti Psychotics	ONVOC:0000249	
Antidepressants	ONVOC:0000250	
Anxiolytics	ONVOC:0000251	
Cannabinoids	ONVOC:0000252	
Contraception	ONVOC:0000253	
Dementia Medication	ONVOC:0000254	
Migraine Medication	ONVOC:0000255	
Mood Stabilizers	ONVOC:0000256	
Opiods	ONVOC:0000257	
Parkinsons Disease Medication	ONVOC:0000258	
Psychedelics	ONVOC:0000259	
Psychostimulants	ONVOC:0000260	
