term	vocabulary_id	comment
English	ONVOC:0000581	
Spanish	ONVOC:0000582	
Polish	ONVOC:0000583	
Monolingual	ONVOC:0000809	
Multilingual	ONVOC:0000810	
Bilingual	ONVOC:0000811	
Cantonese	ONVOC:0000812	
Mandarin	ONVOC:0000813	
French	ONVOC:0000814	
German	ONVOC:0000815	
Italian	ONVOC:0000816	
Portuguese	ONVOC:0000817	
Russian	ONVOC:0000818	
Japanese	ONVOC:0000819	
Korean	ONVOC:0000820	
Arabic	ONVOC:0000821	
Hindi	ONVOC:0000822	
Bengali	ONVOC:0000823	
Urdu	ONVOC:0000824	
Turkish	ONVOC:0000825	
Vietnamese	ONVOC:0000826	
Dutch	ONVOC:0000827	
Swedish	ONVOC:0000828	
Danish	ONVOC:0000829	
Norwegian	ONVOC:0000830	
Finnish	ONVOC:0000831	
Greek	ONVOC:0000832	
Hungarian	ONVOC:0000833	
Czech	ONVOC:0000834	
Slovak	ONVOC:0000835	
Romanian	ONVOC:0000836	
Bulgarian	ONVOC:0000837	
Serbian	ONVOC:0000838	
Croatian	ONVOC:0000839	
Slovenian	ONVOC:0000840	
Lithuanian	ONVOC:0000841	
Latvian	ONVOC:0000842	
Estonian	ONVOC:0000843	
Ukrainian	ONVOC:0000844	
Hebrew	ONVOC:0000845	
Indonesian	ONVOC:0000846	
Malay	ONVOC:0000847	
Tagalog	ONVOC:0000848	
Thai	ONVOC:0000849	
Swahili	ONVOC:0000850	
Zulu	ONVOC:0000851	
Xhosa	ONVOC:0000852	
