term	vocabulary_id	comment
Flanker Task	ONVOC:0000788	
Resting State Paradigm	ONVOC:0000789	
Gambling Task	ONVOC:0000790	
Stop Signal Task	ONVOC:0000791	
Visual Attention Paradigm	ONVOC:0000792	
Posner Cueing Paradigm	ONVOC:0000793	
Task Switching Paradigm	ONVOC:0000794	
Oddball Paradigm	ONVOC:0000795	
Stroop Task	ONVOC:0000796	
n-back Paradigm	ONVOC:0000797	
Go/No-Go Paradigm	ONVOC:0000798	
Incentive Delay Task	ONVOC:0000799	
Motor Task	ONVOC:0000800	
Mental Rotation Task	ONVOC:0000801	
Simon Task	ONVOC:0000802	
Reading Task	ONVOC:0000803	
Visual Task	ONVOC:0000804	
Auditory Task	ONVOC:0000805	
Film Viewing Paradigm	ONVOC:0000806	
Reward Task Paradigm	ONVOC:0000807	
Sternberg Task	ONVOC:0000808	
Continuous Performance Task	ONVOC:0000619	
Lexical Decision Task	ONVOC:0000622	
Wisconsin Card Sorting Task	ONVOC:0000629	
Hooper Visual Organisation Task	ONVOC:0000757	
