term	vocabulary_id	comment
Fatigue	ONVOC:0000399	
Pain	ONVOC:0000400	
Cough	ONVOC:0000401	
Fever	ONVOC:0000402	
Nasal Congestion	ONVOC:0000403	
Runny Nose	ONVOC:0000404	
Sore Throat	ONVOC:0000405	
Headache	ONVOC:0000118	
Gastrointestinal Issues	ONVOC:0000406	
Dizziness	ONVOC:0000407	
Lightheadedness	ONVOC:0000408	
Sleep Disturbances	ONVOC:0000409	
Appetite	ONVOC:0000410	
Skin Rashes	ONVOC:0000411	
Skin Irritation	ONVOC:0000412	
Swelling	ONVOC:0000413	
Edema	ONVOC:0000414	
Shortness of Breath	ONVOC:0000415	
Dyspnea	ONVOC:0000416	
Bowel Habits	ONVOC:0000417	
Bladder Habits	ONVOC:0000418	
Chest Pain	ONVOC:0000419	
Back Pain	ONVOC:0000420	
Joint Pain	ONVOC:0000421	
Joint Stiffness	ONVOC:0000422	
Swollen Lymph Nodes	ONVOC:0000423	
Hypercapnia	ONVOC:0000604	
