term	vocabulary_id	comment
Fatigue	ONVOC:0000650	
Pain	ONVOC:0000651	
Cough	ONVOC:0000652	
Fever	ONVOC:0000653	
Nasal Congestion	ONVOC:0000654	
Runny Nose	ONVOC:0000655	
Sore Throat	ONVOC:0000656	
Headache	ONVOC:0000173	
Gastrointestinal Issues	ONVOC:0000657	
Dizziness	ONVOC:0000658	
Lightheadedness	ONVOC:0000659	
Sleep Disturbances	ONVOC:0000660	
Appetite	ONVOC:0000661	
Skin Rashes	ONVOC:0000662	
Skin Irritation	ONVOC:0000663	
Swelling	ONVOC:0000664	
Edema	ONVOC:0000665	
Shortness of Breath	ONVOC:0000666	
Dyspnea	ONVOC:0000667	
Bowel Habits	ONVOC:0000668	
Bladder Habits	ONVOC:0000669	
Joint Stiffness	ONVOC:0000670	
Swollen Lymph Nodes	ONVOC:0000671	
Hypercapnia	ONVOC:0000672	
