term	vocabulary_id	comment
Headache	ONVOC:0000118	
Pain	ONVOC:0000395	
Fatigue	ONVOC:0000394	
Dizziness	ONVOC:0000402	
Numbness	ONVOC:0000419	
Tingling	ONVOC:0000420	
Paresthesia	ONVOC:0000421	
Muscle Weakness	ONVOC:0000422	
Memory Problems	ONVOC:0000423	
Sleep Disturbances	ONVOC:0000404	
Gait Disturbances	ONVOC:0000424	
Balance Problems	ONVOC:0000425	
Speech Difficulties	ONVOC:0000426	
Dysarthria	ONVOC:0000427	
Cognitive Impairment	ONVOC:0000375	
Tremors	ONVOC:0000428	
Seizures	ONVOC:0000429	
Stiffness	ONVOC:0000430	
Rigidity	ONVOC:0000431	
Swallowing Difficulties	ONVOC:0000432	
Dysphagia	ONVOC:0000433	
Bowel Dysfunction	ONVOC:0000434	
Bladder Dysfunction	ONVOC:0000435	
Loss of Smell (Anosmia) or Taste (Ageusia)	ONVOC:0000436	
Tics	ONVOC:0000437	
Tinnitus	ONVOC:0000339	
Scotoma	ONVOC:0000438	
Hemianopsia	ONVOC:0000439	
Hearing Loss	ONVOC:0000337	
