term	vocabulary_id	comment
Headache	ONVOC:0000173	
Pain	ONVOC:0000651	
Fatigue	ONVOC:0000650	
Dizziness	ONVOC:0000658	
Numbness	ONVOC:0000673	
Tingling	ONVOC:0000674	
Paresthesia	ONVOC:0000675	
Muscle Weakness	ONVOC:0000676	
Memory Problems	ONVOC:0000677	
Sleep Disturbances	ONVOC:0000660	
Gait Disturbances	ONVOC:0000678	
Balance Problems	ONVOC:0000679	
Speech Difficulties	ONVOC:0000680	
Dysarthria	ONVOC:0000681	
Cognitive Impairment	ONVOC:0000579	
Tremors	ONVOC:0000682	
Seizures	ONVOC:0000683	
Stiffness	ONVOC:0000684	
Rigidity	ONVOC:0000685	
Swallowing Difficulties	ONVOC:0000686	
Dysphagia	ONVOC:0000687	
Bowel Dysfunction	ONVOC:0000688	
Bladder Dysfunction	ONVOC:0000689	
Loss of Smell (Anosmia) or Taste (Ageusia)	ONVOC:0000690	
Tics	ONVOC:0000691	
Tinnitus	ONVOC:0000511	
Scotoma	ONVOC:0000692	
Hemianopsia	ONVOC:0000693	
Hearing Loss	ONVOC:0000509	
Prosopagnosia	ONVOC:0000187	
