term	vocabulary_id	comment
Anxiety	ONVOC:0000445	
Depressed Mood	ONVOC:0000446	
Fatigue	ONVOC:0000399	
Low Energy	ONVOC:0000447	
Sleep Disturbances	ONVOC:0000409	
Irritability	ONVOC:0000448	
Difficulty Concentrating	ONVOC:0000449	
Appetite	ONVOC:0000410	
Weight	ONVOC:0000353	
Social Withdrawal	ONVOC:0000450	
Excessive Worry	ONVOC:0000451	
Loss of Interest	ONVOC:0000452	
Anhedonia	ONVOC:0000453	
Feelings of Worthlessness	ONVOC:0000454	
Feelings of Guilt	ONVOC:0000455	
Restlessness	ONVOC:0000456	
Agitation	ONVOC:0000457	
Suicidal Thoughts	ONVOC:0000458	
Panic Attacks	ONVOC:0000459	
Obsessions	ONVOC:0000460	
Compulsions	ONVOC:0000461	
Sex Drive	ONVOC:0000462	
Emotional Outbursts	ONVOC:0000463	
Feeling Disconnected	ONVOC:0000464	
Derealization	ONVOC:0000465	
Depersonalization	ONVOC:0000466	
Paranoia	ONVOC:0000467	
Hallucinations	ONVOC:0000468	
Delusions	ONVOC:0000469	
Risk-taking	ONVOC:0000470	
Drug Craving	ONVOC:0000471	
Weight Gain	ONVOC:0000573	
Weight Loss	ONVOC:0000574	
