term	vocabulary_id	comment
Anxiety	ONVOC:0000694	
Depressed Mood	ONVOC:0000695	
Fatigue	ONVOC:0000650	
Low Energy	ONVOC:0000696	
Sleep Disturbances	ONVOC:0000660	
Irritability	ONVOC:0000697	
Difficulty Concentrating	ONVOC:0000698	
Appetite	ONVOC:0000661	
Weight Gain	ONVOC:0000699	
Weight Loss	ONVOC:0000700	
Social Withdrawal	ONVOC:0000701	
Excessive Worry	ONVOC:0000702	
Loss of Interest	ONVOC:0000703	
Anhedonia	ONVOC:0000704	
Feelings of Worthlessness	ONVOC:0000705	
Feelings of Guilt	ONVOC:0000706	
Restlessness	ONVOC:0000707	
Agitation	ONVOC:0000708	
Suicidal Thoughts	ONVOC:0000709	
Panic Attacks	ONVOC:0000710	
Obsessions	ONVOC:0000711	
Compulsions	ONVOC:0000712	
Sex Drive	ONVOC:0000713	
Emotional Outbursts	ONVOC:0000714	
Feeling Disconnected	ONVOC:0000715	
Derealization	ONVOC:0000716	
Depersonalization	ONVOC:0000717	
Paranoia	ONVOC:0000718	
Hallucinations	ONVOC:0000719	
Delusions	ONVOC:0000720	
Risk-taking	ONVOC:0000721	
Drug Craving	ONVOC:0000722	
